playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xPlayStopped,playStopped,xPlayContinuedInZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,penalityMinutes,penalties
8473632,2008,Josh Tordjman,ARI,G,other,2,268.0,0.57,1.0,6.0,0.26,0.0,1.27,0.53,1.0,2.0,1.0,0.05,0.22,0.3,0.0,0.0,1.0,0.0,0.0
8473632,2008,Josh Tordjman,ARI,G,all,2,7062.0,4.87,8.0,109.0,2.33,3.0,29.37,4.79,59.0,12.0,5.0,1.97,1.58,1.33,3.0,3.0,2.0,0.0,0.0
8473632,2008,Josh Tordjman,ARI,G,5on5,2,5785.0,3.56,7.0,93.0,1.4,3.0,25.79,3.51,52.0,10.0,2.0,1.67,1.36,0.53,3.0,3.0,1.0,0.0,0.0
8473632,2008,Josh Tordjman,ARI,G,4on5,2,336.0,0.42,0.0,5.0,0.0,0.0,1.58,0.42,3.0,0.0,1.0,0.16,0.0,0.27,0.0,0.0,0.0,0.0,0.0
8473632,2008,Josh Tordjman,ARI,G,5on4,2,673.0,0.32,0.0,5.0,0.67,0.0,0.73,0.32,3.0,0.0,1.0,0.08,0.0,0.24,0.0,0.0,0.0,0.0,0.0
8467391,2008,Jason LaBarbera,VAN,G,other,27,2255.0,4.8,4.0,71.0,1.29,1.0,21.55,4.7,43.0,9.0,5.0,1.61,1.22,1.97,1.0,1.0,2.0,0.0,0.0
8467391,2008,Jason LaBarbera,VAN,G,all,27,85293.0,59.31,66.0,1210.0,21.93,24.0,385.48,56.36,756.0,145.0,60.0,21.84,17.57,19.9,21.0,24.0,21.0,2.0,1.0
8467391,2008,Jason LaBarbera,VAN,G,5on5,27,63907.0,37.85,44.0,887.0,15.76,21.0,280.82,36.89,567.0,101.0,34.0,16.79,12.12,8.95,18.0,18.0,8.0,2.0,1.0
8467391,2008,Jason LaBarbera,VAN,G,4on5,27,9981.0,14.11,14.0,218.0,0.62,0.0,76.63,12.37,126.0,31.0,17.0,2.74,3.66,7.71,0.0,4.0,10.0,0.0,0.0
8467391,2008,Jason LaBarbera,VAN,G,5on4,27,9150.0,1.92,4.0,28.0,4.0,2.0,5.26,1.78,19.0,2.0,3.0,0.67,0.29,0.97,2.0,1.0,1.0,0.0,0.0
8471305,2008,Daniel Lacosta,CBJ,G,other,3,188.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8471305,2008,Daniel Lacosta,CBJ,G,all,3,9341.0,5.7,4.0,141.0,2.28,2.0,44.85,5.46,96.0,9.0,7.0,2.34,0.95,2.41,2.0,1.0,1.0,0.0,0.0
8471305,2008,Daniel Lacosta,CBJ,G,5on5,3,7704.0,3.6,3.0,103.0,1.95,2.0,32.26,3.49,71.0,5.0,5.0,1.85,0.58,1.17,2.0,1.0,0.0,0.0,0.0
8471305,2008,Daniel Lacosta,CBJ,G,4on5,3,1037.0,1.77,1.0,29.0,0.05,0.0,10.13,1.64,17.0,3.0,2.0,0.27,0.27,1.24,0.0,0.0,1.0,0.0,0.0
8471305,2008,Daniel Lacosta,CBJ,G,5on4,3,412.0,0.17,0.0,5.0,0.13,0.0,1.1,0.17,4.0,1.0,0.0,0.06,0.1,0.0,0.0,0.0,0.0,0.0,0.0
8448535,2008,Olie Kolzig,T.B,G,other,8,741.0,2.12,3.0,29.0,0.15,0.0,10.97,1.58,20.0,2.0,2.0,0.46,0.2,1.45,2.0,0.0,1.0,0.0,0.0
8448535,2008,Olie Kolzig,T.B,G,all,8,24603.0,18.7,25.0,413.0,5.65,7.0,126.52,17.55,238.0,59.0,16.0,6.47,6.66,5.57,6.0,12.0,7.0,0.0,0.0
8448535,2008,Olie Kolzig,T.B,G,5on5,8,17939.0,11.28,16.0,280.0,4.03,5.0,84.28,10.96,164.0,39.0,8.0,4.71,4.52,2.05,4.0,8.0,4.0,0.0,0.0
8448535,2008,Olie Kolzig,T.B,G,4on5,8,2676.0,4.89,6.0,87.0,0.09,0.0,28.5,4.6,40.0,18.0,6.0,0.89,1.94,2.06,0.0,4.0,2.0,0.0,0.0
8448535,2008,Olie Kolzig,T.B,G,5on4,8,3247.0,0.41,0.0,17.0,1.38,2.0,2.76,0.41,14.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468550,2008,Mikael Tellqvist,BUF,G,other,21,1465.0,2.52,6.0,46.0,0.38,0.0,11.18,2.35,20.0,9.0,2.0,0.97,1.04,0.51,2.0,4.0,0.0,0.0,0.0
8468550,2008,Mikael Tellqvist,BUF,G,all,21,60449.0,45.21,47.0,957.0,15.25,15.0,278.31,43.96,583.0,120.0,32.0,17.7,14.48,13.03,13.0,19.0,15.0,0.0,0.0
8468550,2008,Mikael Tellqvist,BUF,G,5on5,21,46183.0,28.28,27.0,704.0,11.43,12.0,203.77,27.74,440.0,86.0,15.0,13.71,10.43,4.15,8.0,13.0,6.0,0.0,0.0
8468550,2008,Mikael Tellqvist,BUF,G,4on5,21,6180.0,12.48,13.0,173.0,0.29,0.0,57.67,11.99,100.0,19.0,14.0,2.29,2.22,7.97,3.0,2.0,8.0,0.0,0.0
8468550,2008,Mikael Tellqvist,BUF,G,5on4,21,6621.0,1.92,1.0,34.0,3.16,3.0,5.69,1.89,23.0,6.0,1.0,0.72,0.79,0.41,0.0,0.0,1.0,0.0,0.0
8470772,2008,Chris Holt,STL,G,other,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470772,2008,Chris Holt,STL,G,all,1,1113.0,0.16,0.0,8.0,0.38,1.0,1.54,0.16,4.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470772,2008,Chris Holt,STL,G,5on5,1,739.0,0.12,0.0,2.0,0.13,0.0,0.89,0.12,2.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470772,2008,Chris Holt,STL,G,4on5,1,130.0,0.01,0.0,4.0,0.09,1.0,0.39,0.01,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470772,2008,Chris Holt,STL,G,5on4,1,238.0,0.03,0.0,2.0,0.16,0.0,0.26,0.03,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8468481,2008,Rick DiPietro,NYI,G,other,5,254.0,0.05,1.0,4.0,0.78,3.0,0.8,0.05,3.0,0.0,0.0,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8468481,2008,Rick DiPietro,NYI,G,all,5,15359.0,11.39,15.0,258.0,4.77,5.0,81.31,10.93,152.0,31.0,13.0,3.51,3.65,4.23,4.0,4.0,7.0,2.0,1.0
8468481,2008,Rick DiPietro,NYI,G,5on5,5,12021.0,7.86,11.0,200.0,3.44,1.0,59.32,7.68,114.0,22.0,10.0,2.58,2.65,2.64,2.0,4.0,5.0,2.0,1.0
8468481,2008,Rick DiPietro,NYI,G,4on5,5,2000.0,3.41,3.0,50.0,0.07,0.0,20.67,3.13,33.0,9.0,3.0,0.8,1.01,1.6,1.0,0.0,2.0,0.0,0.0
8468481,2008,Rick DiPietro,NYI,G,5on4,5,1084.0,0.08,0.0,4.0,0.49,1.0,0.52,0.08,2.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8448382,2008,Curtis Joseph,TOR,G,other,20,1644.0,1.34,1.0,37.0,0.51,0.0,9.02,1.3,18.0,6.0,0.0,0.63,0.71,0.0,0.0,1.0,0.0,0.0,0.0
8448382,2008,Curtis Joseph,TOR,G,all,20,50142.0,41.08,50.0,748.0,15.04,14.0,226.95,39.57,408.0,127.0,38.0,12.01,15.25,13.81,15.0,18.0,17.0,0.0,0.0
8448382,2008,Curtis Joseph,TOR,G,5on5,20,38746.0,27.2,33.0,578.0,11.13,8.0,177.88,26.43,329.0,99.0,20.0,9.77,11.76,5.66,13.0,14.0,6.0,0.0,0.0
8448382,2008,Curtis Joseph,TOR,G,4on5,20,4432.0,12.09,16.0,122.0,0.27,0.0,38.27,11.38,53.0,20.0,18.0,1.42,2.51,8.15,2.0,3.0,11.0,0.0,0.0
8448382,2008,Curtis Joseph,TOR,G,5on4,20,5320.0,0.46,0.0,11.0,3.13,6.0,1.78,0.46,8.0,2.0,0.0,0.18,0.28,0.0,0.0,0.0,0.0,0.0,0.0
8462147,2008,Miikka Kiprusoff,CGY,G,other,76,9487.0,17.64,16.0,220.0,3.06,5.0,67.81,16.51,106.0,47.0,20.0,3.94,5.69,8.01,5.0,8.0,3.0,0.0,0.0
8462147,2008,Miikka Kiprusoff,CGY,G,all,76,265079.0,189.46,209.0,3697.0,74.32,68.0,1195.19,180.78,2260.0,561.0,170.0,63.63,66.79,59.04,73.0,77.0,59.0,2.0,1.0
8462147,2008,Miikka Kiprusoff,CGY,G,5on5,76,198015.0,114.17,138.0,2601.0,55.7,50.0,836.44,110.35,1658.0,370.0,81.0,46.77,44.1,23.31,60.0,49.0,29.0,2.0,1.0
8462147,2008,Miikka Kiprusoff,CGY,G,4on5,76,27613.0,49.3,42.0,749.0,1.81,2.0,264.69,45.65,422.0,115.0,59.0,10.73,13.58,24.98,4.0,14.0,24.0,0.0,0.0
8462147,2008,Miikka Kiprusoff,CGY,G,5on4,76,29964.0,7.91,12.0,118.0,13.65,11.0,23.72,7.83,68.0,27.0,10.0,1.94,3.23,2.74,3.0,6.0,3.0,0.0,0.0
8468166,2008,Curtis Sanford,VAN,G,other,19,2386.0,7.72,8.0,74.0,1.23,1.0,23.21,6.74,29.0,13.0,11.0,0.89,1.49,5.34,1.0,1.0,6.0,0.0,0.0
8468166,2008,Curtis Sanford,VAN,G,all,19,58355.0,40.92,42.0,846.0,14.93,15.0,260.84,39.23,499.0,105.0,38.0,14.66,12.5,13.76,17.0,12.0,13.0,2.0,1.0
8468166,2008,Curtis Sanford,VAN,G,5on5,19,43310.0,24.76,26.0,604.0,10.22,9.0,185.7,24.18,378.0,65.0,21.0,11.55,7.73,5.48,14.0,10.0,2.0,0.0,0.0
8468166,2008,Curtis Sanford,VAN,G,4on5,19,6019.0,7.11,7.0,136.0,0.33,1.0,46.2,6.98,74.0,20.0,6.0,1.72,2.46,2.94,2.0,0.0,5.0,0.0,0.0
8468166,2008,Curtis Sanford,VAN,G,5on4,19,6640.0,1.33,1.0,32.0,3.15,4.0,5.73,1.32,18.0,7.0,0.0,0.5,0.83,0.0,0.0,1.0,0.0,2.0,1.0
8474488,2008,Matt Climie,DAL,G,other,3,40.0,0.02,0.0,2.0,0.0,0.0,0.37,0.02,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8474488,2008,Matt Climie,DAL,G,all,3,11056.0,8.65,9.0,160.0,2.72,2.0,53.25,7.92,97.0,23.0,7.0,3.01,2.92,2.72,3.0,4.0,2.0,0.0,0.0
8474488,2008,Matt Climie,DAL,G,5on5,3,8931.0,5.32,5.0,116.0,2.23,1.0,37.37,5.21,73.0,16.0,3.0,2.44,2.11,0.77,3.0,1.0,1.0,0.0,0.0
8474488,2008,Matt Climie,DAL,G,4on5,3,1414.0,2.99,4.0,38.0,0.12,0.0,14.21,2.36,20.0,7.0,3.0,0.48,0.81,1.7,0.0,3.0,1.0,0.0,0.0
8474488,2008,Matt Climie,DAL,G,5on4,3,671.0,0.25,0.0,1.0,0.23,1.0,0.2,0.25,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
8473461,2008,Steve Mason,CBJ,G,other,61,8453.0,12.5,11.0,228.0,2.33,1.0,68.88,11.59,128.0,35.0,12.0,3.95,4.2,4.35,4.0,3.0,4.0,0.0,0.0
8473461,2008,Steve Mason,CBJ,G,all,61,219711.0,134.99,140.0,3023.0,50.86,76.0,901.49,130.99,1782.0,391.0,105.0,51.47,46.88,36.64,50.0,50.0,40.0,2.0,1.0
8473461,2008,Steve Mason,CBJ,G,5on5,61,167415.0,82.25,86.0,2109.0,38.22,59.0,628.9,80.31,1283.0,264.0,51.0,38.07,31.15,13.04,40.0,34.0,12.0,2.0,1.0
8473461,2008,Steve Mason,CBJ,G,4on5,61,22710.0,36.32,37.0,606.0,1.22,2.0,189.75,35.25,327.0,74.0,40.0,8.3,9.26,18.76,3.0,10.0,24.0,0.0,0.0
8473461,2008,Steve Mason,CBJ,G,5on4,61,21133.0,3.65,5.0,73.0,8.92,14.0,12.57,3.58,40.0,17.0,2.0,1.02,2.13,0.51,2.0,3.0,0.0,0.0,0.0
8462047,2008,Martin Biron,PHI,G,other,55,8309.0,12.59,9.0,186.0,2.37,1.0,57.11,11.59,98.0,35.0,13.0,3.63,3.96,5.0,4.0,1.0,4.0,0.0,0.0
