Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS,Player-additional,season
4,Mike Smith,29,PHX,G,35,23.33,2,5,10,,,38,18,10,2.21,0.93,0.0,0.0,16.7,16.7,smithmi01,2012
5,Brian Elliott,26,STL,G,5,3.33,1,0,0,,,23,10,4,1.56,0.94,0.0,0.0,9.0,9.0,elliobr01,2012
6,Jaroslav Halák,26,STL,G,3,2.0,0,1,0,,,26,12,7,1.97,0.926,0.0,0.0,9.1,9.1,halakja01,2012
7,Marc-André Fleury,27,PIT,G,1,0.67,0,0,1,,,42,17,4,2.36,0.913,0.0,0.0,10.7,10.7,fleurma01,2012
7,Miikka Kiprusoff,35,CGY,G,1,0.67,0,0,1,,,35,22,11,2.35,0.921,0.0,0.0,14.1,14.1,kiprumi01,2012
1,Connor Hellebuyck,26,WPG,G,123,82.0,19,9,1,,,31,21,5,2.57,0.922,0.0,0.0,12.5,12.5,helleco01,2020
2,Tuukka Rask,32,BOS,G,99,66.0,10,15,4,,,26,8,6,2.12,0.929,0.0,0.0,9.1,9.1,rasktu01,2020
3,Andrei Vasilevskiy,25,TBL,G,31,20.67,1,3,17,,,35,14,3,2.56,0.917,0.0,0.0,10.4,10.4,vasilan02,2020
4,Jacob Markström,30,VAN,G,7,4.67,0,1,4,,,23,16,4,2.75,0.918,0.0,0.0,9.2,9.2,marksja02,2020
5,Elvis Merzļikins,25,CBJ,G,4,2.67,0,1,1,,,13,9,8,2.35,0.923,0.0,0.0,6.5,6.5,merzlel01,2020
6,Robin Lehner,28,TOT,G,3,2.0,0,1,0,,,19,10,5,2.89,0.92,0.0,0.0,8.3,8.3,lehnero01,2020
7,Jordan Binnington,26,STL,G,1,0.67,0,0,1,,,30,13,7,2.56,0.912,0.0,0.0,8.4,8.4,binnijo01,2020
7,Tristan Jarry,24,PIT,G,1,0.67,0,0,1,,,20,12,1,2.43,0.921,0.0,0.0,6.7,6.7,jarrytr01,2020
7,Darcy Kuemper,29,ARI,G,1,0.67,0,0,1,,,16,11,2,2.22,0.928,0.0,0.0,6.9,6.9,kuempda01,2020
1,Sergei Bobrovsky,24,CBJ,G,110,73.33,17,8,1,,,21,11,6,2.0,0.932,0.0,0.0,9.2,9.2,bobrose01,2013
2,Henrik Lundqvist,30,NYR,G,55,36.67,3,12,4,,,24,16,3,2.05,0.926,0.0,0.0,9.3,9.3,lundqhe01,2013
3,Antti Niemi,29,SJS,G,46,30.67,6,4,4,,,24,12,6,2.16,0.924,0.0,0.0,9.2,9.2,niemian02,2013
4,Craig Anderson,31,OTT,G,22,14.67,3,1,4,,,12,9,2,1.69,0.941,0.0,0.0,6.5,6.5,andercr01,2013
5,Tuukka Rask,25,BOS,G,12,8.0,0,3,3,,,19,10,5,2.0,0.929,0.0,0.0,8.0,8.0,rasktu01,2013
6,Jimmy Howard,28,DET,G,9,6.0,0,0,9,,,21,13,7,2.13,0.923,0.0,0.0,8.4,8.4,howarja02,2013
7,Ray Emery,30,CHI,G,6,4.0,1,0,1,,,17,1,0,1.94,0.922,0.0,0.0,3.4,3.4,emeryra01,2013
8,Corey Crawford,28,CHI,G,5,3.33,0,1,2,,,19,5,5,1.94,0.926,0.0,0.0,6.0,6.0,crawfco01,2013
9,Jonas Hiller,30,ANA,G,3,2.0,0,1,0,,,15,6,4,2.36,0.913,0.0,0.0,4.2,4.2,hillejo01,2013
10,Niklas Bäckström,34,MIN,G,1,0.67,0,0,1,,,24,15,3,2.48,0.909,0.0,0.0,6.2,6.2,backsni01,2013
10,Carey Price,25,MTL,G,1,0.67,0,0,1,,,21,13,4,2.59,0.905,0.0,0.0,5.4,5.4,priceca01,2013
1,Tim Thomas,34,BOS,G,127,84.67,22,5,2,,,36,11,7,2.1,0.933,0.0,0.0,14.7,14.7,thomati01,2009
2,Steve Mason,20,CBJ,G,33,22.0,3,4,6,,,33,20,7,2.29,0.916,0.0,0.0,11.2,11.2,masonst01,2009
3,Niklas Bäckström,30,MIN,G,31,20.67,1,8,2,,,37,24,8,2.33,0.923,0.0,0.0,15.6,15.6,backsni01,2009
4,Roberto Luongo,29,VAN,G,30,20.0,2,5,5,,,33,13,7,2.34,0.92,0.0,0.0,11.1,11.1,luongro01,2009
5,Evgeni Nabokov,33,SJS,G,20,13.33,1,4,3,,,41,12,8,2.44,0.91,0.0,0.0,10.2,10.2,nabokev01,2009
6,Henrik Lundqvist,26,NYR,G,14,9.33,1,1,6,,,38,25,7,2.43,0.916,0.0,0.0,13.7,13.7,lundqhe01,2009
7,Cam Ward,24,CAR,G,11,7.33,0,2,5,,,39,23,5,2.44,0.916,0.0,0.0,12.9,12.9,wardca01,2009
8,Miikka Kiprusoff,32,CGY,G,3,2.0,0,1,0,,,45,24,5,2.84,0.903,0.0,0.0,11.5,11.5,kiprumi01,2009
9,Tomáš Vokoun,32,FLA,G,1,0.67,0,0,1,,,26,23,6,2.49,0.926,0.0,0.0,14.6,14.6,vokouto01,2009
1,Tim Thomas,36,BOS,G,104,69.33,17,5,4,,,35,11,9,2.0,0.938,0.0,0.0,16.2,16.2,thomati01,2011
2,Pekka Rinne,28,NSH,G,84,56.0,6,17,3,,,33,22,9,2.12,0.93,0.0,0.0,15.1,15.1,rinnepe01,2011
3,Roberto Luongo,31,VAN,G,33,22.0,3,4,6,,,38,15,7,2.11,0.928,0.0,0.0,13.6,13.6,luongro01,2011
4,Henrik Lundqvist,28,NYR,G,23,15.33,3,1,5,,,36,27,5,2.28,0.923,0.0,0.0,14.0,14.0,lundqhe01,2011
5,Carey Price,23,MTL,G,10,6.67,1,0,5,,,38,28,6,2.35,0.923,0.0,0.0,15.4,15.4,priceca01,2011
6,Ilya Bryzgalov,30,PHX,G,9,6.0,0,2,3,,,36,20,10,2.48,0.921,0.0,0.0,14.7,14.7,bryzgil01,2011
7,Cam Ward,26,CAR,G,4,2.67,0,1,1,,,37,26,10,2.56,0.923,0.0,0.0,16.8,16.8,wardca01,2011
8,Marc-André Fleury,26,PIT,G,1,0.67,0,0,1,,,36,20,5,2.32,0.918,0.0,0.0,11.4,11.4,fleurma01,2011
8,Antti Niemi,27,SJS,G,1,0.67,0,0,1,,,35,18,6,2.38,0.92,0.0,0.0,11.7,11.7,niemian02,2011
8,Jonathan Quick,25,LAK,G,1,0.67,0,0,1,,,35,22,3,2.24,0.918,0.0,0.0,10.7,10.7,quickjo01,2011
1,Tuukka Rask,26,BOS,G,103,68.67,16,6,5,,,36,15,6,2.04,0.93,0.0,0.0,13.1,13.1,rasktu01,2014
2,Semyon Varlamov,25,COL,G,90,60.0,9,13,6,,,41,14,6,2.41,0.927,0.0,0.0,15.5,15.5,varlasi01,2014
3,Ben Bishop,27,TBL,G,32,21.33,1,6,9,,,37,14,7,2.23,0.924,0.0,0.0,12.9,12.9,bishobe01,2014
4,Carey Price,26,MTL,G,26,17.33,2,3,7,,,34,20,5,2.32,0.927,0.0,0.0,13.9,13.9,priceca01,2014
5,Jonathan Quick,28,LAK,G,9,6.0,1,1,1,,,27,17,4,2.07,0.915,0.0,0.0,7.4,7.4,quickjo01,2014
6,Henrik Lundqvist,31,NYR,G,5,3.33,1,0,0,,,33,24,5,2.36,0.92,0.0,0.0,12.4,12.4,lundqhe01,2014
7,Steve Mason,25,PHI,G,3,2.0,0,1,0,,,33,18,7,2.5,0.917,0.0,0.0,11.3,11.3,masonst01,2014
8,Sergei Bobrovsky,25,CBJ,G,1,0.67,0,0,1,,,32,20,5,2.38,0.923,0.0,0.0,12.1,12.1,bobrose01,2014
8,Kari Lehtonen,30,DAL,G,1,0.67,0,0,1,,,33,20,10,2.41,0.919,0.0,0.0,12.6,12.6,lehtoka01,2014
1,Igor Shesterkin,26,NYR,G,154,96.25,29,3,0,,,36,13,4,2.07,0.935,0.0,0.0,13.6,13.6,shestig01,2022
2,Jacob Markström,32,CGY,G,53,33.13,0,14,11,,,37,15,9,2.22,0.922,0.0,0.0,12.4,12.4,marksja02,2022
3,Juuse Saros,26,NSH,G,32,20.0,0,9,5,,,38,25,3,2.64,0.918,0.0,0.0,14.0,14.0,sarosju01,2022
4,Frederik Andersen,32,CAR,G,21,13.13,1,3,7,,,35,14,3,2.17,0.922,0.0,0.0,10.2,10.2,anderfr01,2022
5,Andrei Vasilevskiy,27,TBL,G,14,8.75,1,2,3,,,39,18,5,2.49,0.916,0.0,0.0,12.2,12.2,vasilan02,2022
6,Ilya Sorokin,26,NYI,G,11,6.88,1,1,3,,,26,18,8,2.4,0.925,0.0,0.0,12.1,12.1,sorokil01,2022
7,Thatcher Demko,26,VAN,G,1,0.63,0,0,1,,,33,22,7,2.72,0.915,0.0,0.0,12.4,12.4,demkoth01,2022
7,Ville Husso,26,STL,G,1,0.63,0,0,1,,,25,7,6,2.56,0.919,0.0,0.0,8.4,8.4,hussovi01,2022
7,Tristan Jarry,26,PIT,G,1,0.63,0,0,1,,,34,18,6,2.42,0.919,0.0,0.0,11.6,11.6,jarrytr01,2022
1,Linus Ullmark,29,BOS,G,127,84.67,22,5,2,,,40,6,1,1.89,0.938,0.0,0.0,13.2,13.2,ullmali01,2023
2,Ilya Sorokin,27,NYI,G,70,46.67,3,17,4,,,31,22,7,2.34,0.924,0.0,0.0,14.1,14.1,sorokil01,2023
3,Connor Hellebuyck,29,WPG,G,32,21.33,2,5,7,,,37,25,2,2.49,0.92,0.0,0.0,14.3,14.3,helleco01,2023
4,Juuse Saros,27,NSH,G,24,16.0,2,2,8,,,33,23,7,2.69,0.919,0.0,0.0,14.9,14.9,sarosju01,2023
5,Jake Oettinger,24,DAL,G,7,4.67,0,0,7,,,37,11,11,2.37,0.919,0.0,0.0,12.7,12.7,oettija01,2023
6,Andrei Vasilevskiy,28,TBL,G,5,3.33,1,0,0,,,34,22,4,2.65,0.915,0.0,0.0,12.7,12.7,vasilan02,2023
7,Alexandar Georgiev,26,COL,G,3,2.0,0,1,0,,,40,16,6,2.53,0.918,0.0,0.0,13.4,13.4,georgal01,2023
8,Igor Shesterkin,27,NYR,G,2,1.33,0,0,2,,,37,13,8,2.48,0.916,0.0,0.0,11.8,11.8,shestig01,2023
1,Braden Holtby,26,WSH,G,140,93.33,26,3,1,,,48,9,7,2.2,0.922,0.0,0.0,12.1,12.1,holtbbr01,2016
2,Ben Bishop,29,TBL,G,51,34.0,2,12,5,,,35,21,4,2.06,0.926,0.0,0.0,12.2,12.2,bishobe01,2016
3,Jonathan Quick,30,LAK,G,36,24.0,1,8,7,,,40,23,5,2.22,0.918,0.0,0.0,11.5,11.5,quickjo01,2016
4,Roberto Luongo,36,FLA,G,14,9.33,0,3,5,,,35,19,6,2.35,0.922,0.0,0.0,12.1,12.1,luongro01,2016
5,Corey Crawford,31,CHI,G,10,6.67,1,1,2,,,35,18,5,2.37,0.924,0.0,0.0,12.0,12.0,crawfco01,2016
6,Cory Schneider,29,NJD,G,10,6.67,0,1,7,,,27,25,6,2.15,0.924,0.0,0.0,11.1,11.1,schneco01,2016
7,John Gibson,22,ANA,G,3,2.0,0,1,0,,,21,13,4,2.07,0.92,0.0,0.0,6.5,6.5,gibsojo02,2016
7,Martin Jones,26,SJS,G,3,2.0,0,1,0,,,37,23,4,2.27,0.918,0.0,0.0,10.8,10.8,jonesma02,2016
9,Brian Elliott,30,STL,G,3,2.0,0,0,3,,,23,8,6,2.07,0.93,0.0,0.0,8.6,8.6,elliobr01,2016
1,Pekka Rinne,35,NSH,G,129,83.23,22,6,1,,,42,13,4,2.31,0.927,0.0,0.0,13.2,13.2,rinnepe01,2018
2,Connor Hellebuyck,24,WPG,G,82,52.9,7,14,5,,,44,11,9,2.36,0.924,0.0,0.0,14.0,14.0,helleco01,2018
3,Andrei Vasilevskiy,23,TBL,G,21,13.55,0,5,6,,,44,17,3,2.62,0.92,0.0,0.0,13.2,13.2,vasilan02,2018
4,Frederik Andersen,28,TOR,G,12,7.74,1,2,1,,,38,21,5,2.81,0.918,0.0,0.0,13.6,13.6,anderfr01,2018
5,Marc-André Fleury,33,VEG,G,11,7.1,1,1,3,,,29,13,4,2.24,0.927,0.0,0.0,9.9,9.9,fleurma01,2018
7,Tuukka Rask,30,BOS,G,7,4.52,0,2,1,,,34,14,5,2.36,0.917,0.0,0.0,9.3,9.3,rasktu01,2018
8,Sergei Bobrovsky,29,CBJ,G,4,2.58,0,0,4,,,37,22,6,2.42,0.921,0.0,0.0,12.9,12.9,bobrose01,2018
9,Roberto Luongo,38,FLA,G,1,0.65,0,0,1,,,18,11,2,2.47,0.929,0.0,0.0,8.5,8.5,luongro01,2018
9,Jonathan Quick,32,LAK,G,1,0.65,0,0,1,,,33,28,3,2.4,0.921,0.0,0.0,12.2,12.2,quickjo01,2018
1,Ryan Miller,29,BUF,G,126,84.0,23,3,2,,,41,18,8,2.22,0.929,0.0,0.0,16.8,16.8,millery01,2010
2,Ilya Bryzgalov,29,PHX,G,79,52.67,5,16,6,,,42,20,6,2.29,0.92,0.0,0.0,13.9,13.9,bryzgil01,2010
3,Martin Brodeur,37,NJD,G,32,21.33,1,6,9,,,45,25,6,2.24,0.916,0.0,0.0,13.2,13.2,brodema01,2010
4,Evgeni Nabokov,34,SJS,G,9,6.0,1,1,1,,,44,16,10,2.43,0.922,0.0,0.0,15.6,15.6,nabokev01,2010
4,Craig Anderson,28,COL,G,9,6.0,0,2,3,,,38,25,7,2.63,0.917,0.0,0.0,14.8,14.8,andercr01,2010
6,Henrik Lundqvist,27,NYR,G,6,4.0,0,1,3,,,35,27,10,2.38,0.921,0.0,0.0,15.0,15.0,lundqhe01,2010
7,Tuukka Rask,22,BOS,G,3,2.0,0,1,0,,,22,12,5,1.97,0.931,0.0,0.0,10.2,10.2,rasktu01,2010
8,Jimmy Howard,25,DET,G,2,1.33,0,0,2,,,37,15,10,2.26,0.924,0.0,0.0,13.8,13.8,howarja02,2010
8,Miikka Kiprusoff,33,CGY,G,2,1.33,0,0,2,,,35,28,10,2.31,0.92,0.0,0.0,14.3,14.3,kiprumi01,2010
10,Jaroslav Halák,24,MTL,G,1,0.67,0,0,1,,,26,13,5,2.4,0.924,0.0,0.0,10.4,10.4,halakja01,2010
10,Roberto Luongo,30,VAN,G,1,0.67,0,0,1,,,40,22,4,2.57,0.913,0.0,0.0,11.8,11.8,luongro01,2010
